 # xp yp zp bx by bz
 0.41379E-01 -0.35862E+00  0.00000E+00  0.10929-159 -0.29214-159  0.88007E-06
 0.55172E-01 -0.35862E+00  0.00000E+00  0.11560-159 -0.30457-159  0.89139E-06
 0.68966E-01 -0.35862E+00  0.00000E+00  0.12233-159 -0.31759-159  0.90363E-06
 0.82759E-01 -0.35862E+00  0.00000E+00  0.12949-159 -0.33120-159  0.91683E-06
 0.96552E-01 -0.35862E+00  0.00000E+00  0.13711-159 -0.34541-159  0.93104E-06
 0.11034E+00 -0.35862E+00  0.00000E+00  0.14521-159 -0.36024-159  0.94629E-06
 0.12414E+00 -0.35862E+00  0.00000E+00  0.15382-159 -0.37567-159  0.96264E-06
 0.13793E+00 -0.35862E+00  0.00000E+00  0.16295-159 -0.39170-159  0.98011E-06
 0.15172E+00 -0.35862E+00  0.00000E+00  0.17262-159 -0.40832-159  0.99876E-06
 0.16552E+00 -0.35862E+00  0.00000E+00  0.18286-159 -0.42550-159  0.10186E-05
 0.17931E+00 -0.35862E+00  0.00000E+00  0.19367-159 -0.44322-159  0.10397E-05
 0.19310E+00 -0.35862E+00  0.00000E+00  0.20507-159 -0.46141-159  0.10620E-05
 0.20690E+00 -0.35862E+00  0.00000E+00  0.21705-159 -0.48002-159  0.10856E-05
 0.22069E+00 -0.35862E+00  0.00000E+00  0.22961-159 -0.49896-159  0.11105E-05
 0.23448E+00 -0.35862E+00  0.00000E+00  0.24273-159 -0.51814-159  0.11366E-05
 0.24828E+00 -0.35862E+00  0.00000E+00  0.25639-159 -0.53743-159  0.11640E-05
 0.26207E+00 -0.35862E+00  0.00000E+00  0.27054-159 -0.55668-159  0.11925E-05
 0.27586E+00 -0.35862E+00  0.00000E+00  0.28513-159 -0.57574-159  0.12221E-05
 0.28966E+00 -0.35862E+00  0.00000E+00  0.30008-159 -0.59440-159  0.12527E-05
 0.30345E+00 -0.35862E+00  0.00000E+00  0.31532-159 -0.61244-159  0.12841E-05
 0.31724E+00 -0.35862E+00  0.00000E+00  0.33071-159 -0.62962-159  0.13162E-05
 0.33103E+00 -0.35862E+00  0.00000E+00  0.34614-159 -0.64569-159  0.13488E-05
 0.34483E+00 -0.35862E+00  0.00000E+00  0.36146-159 -0.66035-159  0.13817E-05
 0.35862E+00 -0.35862E+00  0.00000E+00  0.37648-159 -0.67333-159  0.14146E-05
 0.37241E+00 -0.35862E+00  0.00000E+00  0.39104-159 -0.68431-159  0.14473E-05
 0.38621E+00 -0.35862E+00  0.00000E+00  0.40491-159 -0.69302-159  0.14793E-05
 0.40000E+00 -0.35862E+00  0.00000E+00  0.41790-159 -0.69918-159  0.15105E-05
 0.00000E+00 -0.34483E+00  0.00000E+00  0.92545-160 -0.26838-159  0.84532E-06
 0.13793E-01 -0.34483E+00  0.00000E+00  0.97910-160 -0.28002-159  0.85435E-06
 0.27586E-01 -0.34483E+00  0.00000E+00  0.10364-159 -0.29227-159  0.86423E-06
 0.41379E-01 -0.34483E+00  0.00000E+00  0.10976-159 -0.30514-159  0.87498E-06
 0.55172E-01 -0.34483E+00  0.00000E+00  0.11630-159 -0.31867-159  0.88665E-06
 0.68966E-01 -0.34483E+00  0.00000E+00  0.12329-159 -0.33288-159  0.89930E-06
 0.82759E-01 -0.34483E+00  0.00000E+00  0.13075-159 -0.34779-159  0.91297E-06
 0.96552E-01 -0.34483E+00  0.00000E+00  0.13871-159 -0.36341-159  0.92771E-06
 0.11034E+00 -0.34483E+00  0.00000E+00  0.14720-159 -0.37977-159  0.94358E-06
 0.12414E+00 -0.34483E+00  0.00000E+00  0.15625-159 -0.39688-159  0.96062E-06
 0.13793E+00 -0.34483E+00  0.00000E+00  0.16589-159 -0.41472-159  0.97890E-06
 0.15172E+00 -0.34483E+00  0.00000E+00  0.17614-159 -0.43331-159  0.99844E-06
 0.16552E+00 -0.34483E+00  0.00000E+00  0.18703-159 -0.45262-159  0.10193E-05
 0.17931E+00 -0.34483E+00  0.00000E+00  0.19858-159 -0.47262-159  0.10416E-05
 0.19310E+00 -0.34483E+00  0.00000E+00  0.21080-159 -0.49328-159  0.10652E-05
 0.20690E+00 -0.34483E+00  0.00000E+00  0.22371-159 -0.51453-159  0.10903E-05
 0.22069E+00 -0.34483E+00  0.00000E+00  0.23730-159 -0.53629-159  0.11168E-05
 0.23448E+00 -0.34483E+00  0.00000E+00  0.25156-159 -0.55846-159  0.11447E-05
 0.24828E+00 -0.34483E+00  0.00000E+00  0.26647-159 -0.58091-159  0.11740E-05
 0.26207E+00 -0.34483E+00  0.00000E+00  0.28200-159 -0.60348-159  0.12047E-05
 0.27586E+00 -0.34483E+00  0.00000E+00  0.29809-159 -0.62598-159  0.12367E-05
 0.28966E+00 -0.34483E+00  0.00000E+00  0.31466-159 -0.64820-159  0.12698E-05
 0.30345E+00 -0.34483E+00  0.00000E+00  0.33162-159 -0.66988-159  0.13040E-05
 0.31724E+00 -0.34483E+00  0.00000E+00  0.34886-159 -0.69074-159  0.13390E-05
 0.33103E+00 -0.34483E+00  0.00000E+00  0.36621-159 -0.71046-159  0.13747E-05
 0.34483E+00 -0.34483E+00  0.00000E+00  0.38352-159 -0.72870-159  0.14107E-05
 0.35862E+00 -0.34483E+00  0.00000E+00  0.40059-159 -0.74510-159  0.14468E-05
 0.37241E+00 -0.34483E+00  0.00000E+00  0.41719-159 -0.75929-159  0.14826E-05
 0.38621E+00 -0.34483E+00  0.00000E+00  0.43309-159 -0.77091-159  0.15178E-05
 0.40000E+00 -0.34483E+00  0.00000E+00  0.44804-159 -0.77959-159  0.15520E-05
 0.00000E+00 -0.33103E+00  0.00000E+00  0.92321-160 -0.27888-159  0.83943E-06
 0.13793E-01 -0.33103E+00  0.00000E+00  0.97818-160 -0.29142-159  0.84868E-06
 0.27586E-01 -0.33103E+00  0.00000E+00  0.10371-159 -0.30464-159  0.85881E-06
 0.41379E-01 -0.33103E+00  0.00000E+00  0.11001-159 -0.31858-159  0.86985E-06
 0.55172E-01 -0.33103E+00  0.00000E+00  0.11677-159 -0.33328-159  0.88187E-06
 0.68966E-01 -0.33103E+00  0.00000E+00  0.12400-159 -0.34876-159  0.89492E-06
 0.82759E-01 -0.33103E+00  0.00000E+00  0.13176-159 -0.36507-159  0.90905E-06
 0.96552E-01 -0.33103E+00  0.00000E+00  0.14005-159 -0.38223-159  0.92432E-06
 0.11034E+00 -0.33103E+00  0.00000E+00  0.14894-159 -0.40027-159  0.94081E-06
 0.12414E+00 -0.33103E+00  0.00000E+00  0.15844-159 -0.41920-159  0.95856E-06
 0.13793E+00 -0.33103E+00  0.00000E+00  0.16859-159 -0.43905-159  0.97765E-06
 0.15172E+00 -0.33103E+00  0.00000E+00  0.17944-159 -0.45981-159  0.99813E-06
 0.16552E+00 -0.33103E+00  0.00000E+00  0.19101-159 -0.48150-159  0.10201E-05
 0.17931E+00 -0.33103E+00  0.00000E+00  0.20332-159 -0.50407-159  0.10435E-05
 0.19310E+00 -0.33103E+00  0.00000E+00  0.21642-159 -0.52751-159  0.10685E-05
 0.20690E+00 -0.33103E+00  0.00000E+00  0.23030-159 -0.55177-159  0.10952E-05
 0.22069E+00 -0.33103E+00  0.00000E+00  0.24499-159 -0.57676-159  0.11234E-05
 0.23448E+00 -0.33103E+00  0.00000E+00  0.26049-159 -0.60238-159  0.11533E-05
 0.24828E+00 -0.33103E+00  0.00000E+00  0.27677-159 -0.62850-159  0.11848E-05
 0.26207E+00 -0.33103E+00  0.00000E+00  0.29381-159 -0.65496-159  0.12179E-05
 0.27586E+00 -0.33103E+00  0.00000E+00  0.31156-159 -0.68154-159  0.12525E-05
 0.28966E+00 -0.33103E+00  0.00000E+00  0.32995-159 -0.70801-159  0.12886E-05
 0.30345E+00 -0.33103E+00  0.00000E+00  0.34886-159 -0.73406-159  0.13259E-05
 0.31724E+00 -0.33103E+00  0.00000E+00  0.36818-159 -0.75938-159  0.13642E-05
 0.33103E+00 -0.33103E+00  0.00000E+00  0.38775-159 -0.78358-159  0.14034E-05
 0.34483E+00 -0.33103E+00  0.00000E+00  0.40737-159 -0.80625-159  0.14431E-05
 0.35862E+00 -0.33103E+00  0.00000E+00  0.42681-159 -0.82694-159  0.14830E-05
 0.37241E+00 -0.33103E+00  0.00000E+00  0.44582-159 -0.84519-159  0.15226E-05
 0.38621E+00 -0.33103E+00  0.00000E+00  0.46411-159 -0.86054-159  0.15616E-05
 0.40000E+00 -0.33103E+00  0.00000E+00  0.48138-159 -0.87250-159  0.15994E-05
 0.00000E+00 -0.31724E+00  0.00000E+00  0.91880-160 -0.28962-159  0.83350E-06
 0.13793E-01 -0.31724E+00  0.00000E+00  0.97498-160 -0.30309-159  0.84295E-06
 0.27586E-01 -0.31724E+00  0.00000E+00  0.10353-159 -0.31734-159  0.85331E-06
 0.41379E-01 -0.31724E+00  0.00000E+00  0.11001-159 -0.33242-159  0.86464E-06
 0.55172E-01 -0.31724E+00  0.00000E+00  0.11697-159 -0.34836-159  0.87698E-06
 0.68966E-01 -0.31724E+00  0.00000E+00  0.12445-159 -0.36522-159  0.89041E-06
 0.82759E-01 -0.31724E+00  0.00000E+00  0.13248-159 -0.38304-159  0.90499E-06
 0.96552E-01 -0.31724E+00  0.00000E+00  0.14111-159 -0.40186-159  0.92078E-06
 0.11034E+00 -0.31724E+00  0.00000E+00  0.15038-159 -0.42172-159  0.93788E-06
 0.12414E+00 -0.31724E+00  0.00000E+00  0.16033-159 -0.44266-159  0.95634E-06
 0.13793E+00 -0.31724E+00  0.00000E+00  0.17101-159 -0.46470-159  0.97626E-06
 0.15172E+00 -0.31724E+00  0.00000E+00  0.18246-159 -0.48788-159  0.99770E-06
 0.16552E+00 -0.31724E+00  0.00000E+00  0.19472-159 -0.51220-159  0.10207E-05
 0.17931E+00 -0.31724E+00  0.00000E+00  0.20784-159 -0.53766-159  0.10455E-05
 0.19310E+00 -0.31724E+00  0.00000E+00  0.22184-159 -0.56424-159  0.10719E-05
 0.20690E+00 -0.31724E+00  0.00000E+00  0.23676-159 -0.59191-159  0.11002E-05
 0.22069E+00 -0.31724E+00  0.00000E+00  0.25263-159 -0.62059-159  0.11303E-05
 0.23448E+00 -0.31724E+00  0.00000E+00  0.26945-159 -0.65020-159  0.11624E-05
 0.24828E+00 -0.31724E+00  0.00000E+00  0.28722-159 -0.68060-159  0.11963E-05
 0.26207E+00 -0.31724E+00  0.00000E+00  0.30593-159 -0.71161-159  0.12320E-05
